Year,avg_female_cast,sum_female_cast
1920,0.931,27
1921,1.273,42
1922,1.324,45
1923,2.217,51
1924,1.154,45
1925,1.825,73
1926,1.520,76
1927,2.073,85
1928,1.364,90
1929,1.855,141
1930,2.506,203
1931,2.515,249
1932,2.548,344
1933,2.707,398
1934,2.730,385
1935,2.681,386
1936,2.684,408
1937,2.748,426
1938,3.126,397
1939,4.784,641
1940,4.474,680
1941,3.544,521
1942,3.000,438
1943,3.278,472
1944,3.514,499
1945,2.946,433
1946,3.234,414
1947,3.173,495
1948,3.083,484
1949,2.638,459
1950,2.837,522
1951,2.500,490
1952,2.448,475
1953,2.251,448
1954,2.440,466
1955,2.440,510
1956,2.330,508
1957,2.209,539
1958,2.250,495
1959,2.250,504