Year,avg_female_cast3,sum_female_cast3
1981,2.134,766
1982,2.291,843
1983,2.324,818
1984,2.257,817
1985,2.383,877
1986,2.340,915
1987,2.288,1057
1988,2.390,1116
1989,2.645,1161
1990,2.786,1187
1991,2.573,1096
1992,2.450,1110
1993,2.546,1245
1994,2.634,1433
1995,2.652,1586
1996,2.840,1798
1997,2.852,1888
1998,2.619,1891
1999,2.823,2041
2000,2.799,2206
2001,2.597,2241
2002,2.579,2329
2003,2.594,2288
2004,2.548,2528
2005,2.478,2785
2006,2.531,3212
2007,2.525,3331
2008,2.539,3733
2009,2.693,4269
2010,2.494,3743