letter,ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave
A,1,13.3,159375308,Princess Mononoke,/gzlJkVfWV5VEG5xK25cvFGJgkDz.jpg,8.2,2041,1997,3
B,2,16.7,272742922,The Silence of the Lambs,/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg,8.1,4549,1991,3
C,3,35.1,180949000,Kill Bill: Vol. 1,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,7.7,5091,2003,3
D,4,20.0,520000000,Terminator 2: Judgment Day,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,7.7,4274,1991,3
E,5,33.3,152159461,Kill Bill: Vol. 2,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,7.7,4061,2004,3
F,6,27.9,183316455,Aliens,/7lh0lceTCEatJlsmiwkun5AC4OV.jpg,7.7,3282,1986,3
G,7,21.1,60611975,Fargo,/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,7.7,2080,1996,3
H,8,58.3,25397187,Persepolis,/716HJmGsuZckWWHccdMSw4jMAak.jpg,7.7,461,2007,3
I,9,32.3,146292009,The Color Purple,/ai3gXfHgHZ2MTx55VwoT8ZowRHW.jpg,7.7,345,1985,3
J,10,26.3,45361000,Thelma & Louise,/cQaqpwN5Nq0GNNKE1hIgYLpLlca.jpg,7.2,766,1991,3
K,1,7.8,28341469,The Shawshank Redemption,/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg,8.5,8358,1994,3
L,2,57.4,213928762,Pulp Fiction,/plnlrtBUULT0rh3Xsjmpubiso3L.jpg,8.3,8670,1994,3
M,3,29.2,321365567,Schindler's List,/c8Ass7acuOe4za6DhSattE359gr.jpg,8.3,4436,1993,3
N,4,33.3,229400000,Life Is Beautiful,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,8.3,3643,1997,3
O,5,20.3,100853753,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,8.3,9678,1999,3
P,6,18.2,274925095,Spirited Away,/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,8.3,3968,2001,3
Q,7,19.4,1004558444,The Dark Knight,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,8.3,12269,2008,3
R,8,17.6,45284974,Leon: The Professional,/z2ZyHdXw6W5GUQX68Af3bqSPNWt.jpg,8.2,4293,1994,3
S,9,23.9,677945399,Forrest Gump,/fI0CRxxyui5iZMcSCr0rwhAnMfP.jpg,8.2,8147,1994,3
T,10,36.8,46836394,GoodFellas,/oErEczcVUmJm0EPdvWsvK4g4Lv3.jpg,8.2,3211,1990,3